name,city,price
gong cha,Alameda,$$$
top up,Alameda,$$$$
i-tea,Alameda,$$$
malaya tea room,Alameda,$$$$
tomo tea house,Alameda,$$$$
raretea,Alameda,$$$
mandro,Alameda,$$$$
one milk tea,Oakland,$$$
tasty point,Alameda,$$$
yifang taiwan fruit tea,Alameda,$$$
tea on piedmont,Oakland,$$$$
uc dessert,Oakland,$$$$
suptea lab,Oakland,$$$$
yokee milk tea,Oakland,$$$$
sweetheart cafe,Oakland,$$$
happy lemon,Alameda,$$$
boba me,Alameda,$$$$
raretea,Oakland,$$$
mr green bubble,Oakland,$$$
k street,Oakland,$$$$
i-tea,Oakland,$$$$
golden tea shop,Oakland,$$$$
quickly,Oakland,$$$
tapioca express,San Leandro,$$$
t4,Oakland,$$$
earth grown drinks,Oakland,$$$$
baby café,Emeryville,$$$
boba guys,Oakland,$$$
dek doi cafe,Oakland,$$$$
powderface,Oakland,$$$
black diamond cafe,Emeryville,$$$$
panda tea bar,Alameda,$$
yogurtland,Alameda,$$$$
boba binge - uptown,Oakland,$$$$
polaris cafe,Emeryville,$$$$
cafe uccello,Oakland,$$$$
paddington cafe,Oakland,$$$$
primavera,Oakland,$$$$
boba binge,Oakland,$$$$
quickly,Oakland,$$
san san tea house,San Leandro,$$$$
me & jungle cafe,Piedmont,$$$$
gelato firenze,Oakland,$$$$
tf montclair,Oakland,$$$
cafe sorriso,San Leandro,$$$
comeback cafe,Emeryville,$$$
full house cafe,Oakland,$$$
mantea,San Leandro,$$$$
supreme essence,Oakland,$$$
toco tea,American Canyon,$$$
sweet straw,Napa,$$$$
mt. teaablo,Brentwood,$$$$
sharetea,Vallejo,$$$
hello sweet,Concord,$$$$
big bang boba & chicken,Fairfield,$$$
teazentea - livermore,Livermore,$$$$
boba birds,Pinole,$$$$
sharetea,Fairfield,$$$$
happy lemon,Pleasant hill,$$$$
toco tea,El Sobrante ,$$$$
kuma cafe,San Rafael,$$$$
t4,San Pablo,$$$
teaspoon - corte madera,Corte Madera,$$$$
bober tea & coffee,Walnut Creek,$$$$
tp tea,Millbrae,$$$$
ume tea - davis,Davis,$$$$
oddcha,San Rafael,$$$$
thirstea,Rohnert Park,$$$$
yumy gurt,Pinole,$$$$
milk tea lab,Pleasant Hill,$$$
boba bliss,Dublin,$$$$
happy lemon,Vacaville,$$$$
boba bliss,Castro Valley,$$$$
bubbles boba tea,Sebastopol,$$$$
sharetea,San Rafael,$$$
quickly,Vallejo,$$$
junenov tea,Pleasant Hill,$$$$
devil & angel desserts,Walnut Creek,$$$$
beyond tea,Suisun City,$$$$
lilikoi boba,Lafayette,$$$
bober tea,Pleasanton,$$$$
tibear,Berkeley,$$$$
