Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,TradeValue,Quantity,Quantity Unit
Brazil,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,        7315353.94,,
Vietnam,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,        2977954.67,1.03518e+009,Kg
Colombia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,        2791949.52,5.75804e+008,Kg
Honduras,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,        1477445.64,3.40593e+008,Kg
Ethiopia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,        1218808.32,2.34881e+008,Kg
Uganda,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         950623.47,3.68721e+008,Kg
Guatemala,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         946277.67,1.82082e+008,Kg
Indonesia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         915793.88,2.76242e+008,Kg
Germany,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         848343.60,1.99244e+008,Kg
Peru,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         827514.03,2.04547e+008,Kg
India,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         741032.68,2.31874e+008,Kg
Nicaragua,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         607053.75,1.39511e+008,Kg
Mexico,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         386949.91,7.73695e+007,Kg
Costa Rica,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         346963.21,6.02633e+007,Kg
Netherlands,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         286412.14,7.37635e+007,Kg
United States of America,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         283715.29,5.62602e+007,Kg
European Union,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         268965.84,5.46591e+007,Kg
Kenya,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         246413.87,4.86899e+007,Kg
Papua New Guinea,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         227272.21,5.89924e+007,Kg
Tanzania,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         226783.16,8.0018e+007,Kg
Belgium,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         155472.70,3.09785e+007,Kg
El Salvador,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         145470.53,2.87994e+007,Kg
Spain,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,         102610.92,3.53753e+007,Kg
Laos,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          89479.54,3.59013e+007,Kg
United Arab Emirates,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          87949.73,2.5123e+007,Kg
China,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          67949.18,1.65842e+007,Kg
Côte d'Ivoire,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          62029.98,3.40133e+007,Kg
United Kingdom,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          57514.31,1.94573e+007,Kg
Italy,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          54754.51,1.01127e+007,Kg
Canada,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          46234.70,9.35007e+006,Kg
Burundi,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          41090.59,1.03575e+007,Kg
Cameroon,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          31767.39,1.32581e+007,Kg
Singapore,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          25751.15,4.43168e+006,Kg
Jamaica,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          25186.08,750005,Kg
France,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          24095.52,6.55092e+006,Kg
Switzerland,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          23990.58,3.59726e+006,Kg
Slovenia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          23181.46,6.40747e+006,Kg
Zambia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          23114.23,5.63188e+006,Kg
Estonia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          21795.72,5.13486e+006,Kg
Sweden,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          20165.01,4.01649e+006,Kg
Poland,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          18599.15,4.07761e+006,Kg
Dem. Rep. Congo,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          18298.25,7.67458e+006,Kg
Turkey,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          18141.53,4.26146e+006,Kg
Saudi Arabia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          12800.96,3.22667e+006,Kg
Timor-Leste,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          12572.97,4.68156e+006,Kg
Bolivia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          11702.38,1.79083e+006,Kg
Ecuador,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          11306.56,,
Malaysia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,          11099.08,,
Myanmar,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           9846.54,1.69753e+006,Kg
Lithuania,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           8757.00,1.47817e+006,Kg
Togo,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           8177.03,6.50954e+006,Kg
Jordan,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           7793.68,2.06604e+006,Kg
Slovakia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           7376.79,1.1307e+006,Kg
Hong Kong,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           7165.73,1.21752e+006,Kg
Greece,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           5646.34,,
Australia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           5156.27,770195,Kg
"Other Asia, nes",Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           5087.53,505575,Kg
Denmark,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           5003.08,551250,Kg
Armenia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           4869.76,1.42024e+006,Kg
